name,cloneOf,description
19in1,95,19 in 1 MAME bootleg (BAR-V000)
19xx,,19XX: The War Against Destiny (Europe 960104)
19xxa,50,19XX: The War Against Destiny (Asia 960104)
19xxar1,50,19XX: The War Against Destiny (Asia 951207)
19xxb,50,19XX: The War Against Destiny (Brazil 951218)
19xxd,50,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)
19xxh,50,19XX: The War Against Destiny (Hispanic 951218)
19xxj,50,"19XX: The War Against Destiny (Japan 960104, yellow case)"
19xxjr1,50,19XX: The War Against Destiny (Japan 951225)
19xxjr2,50,19XX: The War Against Destiny (Japan 951207)
19xxu,50,19XX: The War Against Destiny (USA 951207)
1on1gov,4066,1 on 1 Government (Japan)
2020bb,24307,2020 Super Baseball (set 1)
2020bba,0,2020 Super Baseball (set 2)
2020bbh,0,2020 Super Baseball (set 3)
20pacgal,,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)
20pacgalr0,64,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)
20pacgalr1,64,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)
20pacgalr2,64,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)
20pacgalr3,64,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)
20pacgalr4,64,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)
240in1ar,,"Mini Arcade Machine (Thumbs Up, 240IN1ARC)"
24_130,74,24 v1.30
24_140,74,24 v1.40
24_144,74,24 v1.44
24_150,,24 v1.50
24cdjuke,,Midcoin Juke Box 24CD
25pacman,,Pac-Man - 25th Anniversary Edition (Rev 3.00)
25pacmano,76,Pac-Man - 25th Anniversary Edition (Rev 2.00)
265games,,265-in-1 Handheld Game (SPG2xx based)
280zzzap,,280-ZZZAP
2mindril,,Two Minute Drill (Ver 2.93A 1994/02/16)
2mindrila,80,Two Minute Drill (Ver 2.2A 1993/10/18)
2spicy,14233,2 Spicy
30test,,30 Test (remake)
32x,,"Genesis with 32X (USA, NTSC)"
32x_mcd,87,"Mega-CD with 32X (Europe, PAL)"
32x_mcdj,87,"Mega-CD with 32X (Japan, NTSC)"
32x_scd,,"Sega CD with 32X (USA, NTSC)"
32xe,84,"Mega Drive with 32X (Europe, PAL)"
32xj,84,"Mega Drive with 32X (Japan, NTSC)"
386i,24419,386i
386sc,11047,386 SC Rev A2
386sc2c,11047,386 motherboard using the Symphony chipset
386schg,11047,386-SC-HG
386sxvhcom,11047,80386SX-VH-COM
39in1,,39 in 1 MAME bootleg (GNO-V000)
3b1,,UNIX PC Model 3B1
3b2_300,,3B2/300
3b2_310,97,3B2/310
3b2_400,97,3B2/400
3b2_600,,3B2/600
3bagfull,,"3 Bags Full (5VXFC790, Victoria)"
3bagfullnz,101,"3 Bags Full (3VXFC5345, New Zealand)"
3bagfullu,101,"3 Bags Full (4XF5196I02, US)"
3cdpoker,,3 Cards Poker 96 (V1.6)
3cdpokera,104,3 Cards Poker 96 (V1.0)
3countb,24307,3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)
3do,,3DO (NTSC)
3do_pal,107,3DO (PAL)
3dobios,,3DO BIOS
3in1semi,,New HyperMan (3-in-1 with Cookie &amp; Bibi &amp; HyperMan) (set 1)
3in1semia,110,New HyperMan (3-in-1 with Cookie &amp; Bibi &amp; HyperMan) (set 2)
3kokushi,,Sankokushi (Japan)
3lilpigs,,3 Lil' Pigs
3on3dunk,,"3 On 3 Dunk Madness (US, prototype? 1997/02/04)"
3siud,11047,3SIUD-1.1
3stooges,,The Three Stooges In Brides Is Brides (set 1)
3stoogesa,116,The Three Stooges In Brides Is Brides (set 2)
3super8,,3 Super 8 (Italy)
3wishrd,,Three Wishes Red (Russia) (Atronic)
3wonders,,Three Wonders (World 910520)
3wondersb,120,Three Wonders (bootleg)
3wondersbi,120,Three Wonders (Italian bootleg)
3wondersh,120,Three Wonders (hack)
3wondersr1,120,Three Wonders (World 910513)
3wondersu,120,Three Wonders (USA 910520)
3x3puzzl,,3X3 Puzzle (Enterprise)
3x3puzzla,126,3X3 Puzzle (Normal)
4000_260,,4000/260
4004clk,,4004 Nixie Clock
40love,,Forty-Love (World)
40lovebl,130,Forty-Love (bootleg)
40lovej,130,Forty-Love (Japan)
486apio,11047,486 APIO
486ccv,11047,486-CCV
486igb21,11047,486IG-B-2-1
486wb6a3,11047,486WB6A3.B1
48in1,95,"48 in 1 MAME bootleg (ver 3.09, HPH-V000)"
48in1a,95,"48 in 1 MAME bootleg (ver 3.02, HPH-V000)"
48in1b,95,"48 in 1 MAME bootleg (ver 3.09, HPH-V000, alt flash)"
48in1c,95,"48 in 1 MAME bootleg (ver 3.08, HPH-V000)"
4d410,,4D/410
4dmshl3g,11047,4DMS HL3G-L4-VI
4dmuhl3s,11047,4DMU HL3S
4dwarrio,,4-D Warriors (315-5162)
4enlinea,,Cuatro en Linea (rev. A-07)
4enlineb,145,Cuatro en Linea (rev. A-06)
4enraya,,4 En Raya (set 1)
4enrayaa,147,4 En Raya (set 2)
4in1,,4 Fun in 1
4in1a,95,"4 in 1 MAME bootleg (ver 3.00, PLZ-V014)"
4in1b,95,4 in 1 MAME bootleg (PLZ-V001)
4in1boot,,"Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)"
4nd04a,11047,386-4N-D04A (UMC chipset)
4psimasy,,Mahjong 4P Shimasho (Japan)
4roses,,"Four Roses (encrypted, set 1)"
4rosesa,155,"Four Roses (encrypted, set 2)"
500gp,,"500 GP (US, 5GP3 Ver. C)"
50lionrr,1352,"50 Lions - Roaring Riches (20301311, NSW/ACT)"
50lions,1352,"50 Lions (10120511, NSW/ACT)"
50lionsa,0,"50 Lions (10156111, ASP)"
50lionsu,0,"50 Lions (0152077, US)"
5acespkr,,5-Aces Poker
5clown,,"Five Clown (English, set 1)"
5clowna,163,"Five Clown (English, set 2)"
5clownsp,163,Five Clown (Spanish hack)
5drag,1352,"5 Dragons (20161011, NSW/ACT)"
5draga,0,"5 Dragons (10176611, ASP)"
5dragce,0,"5 Dragons - Cash Express (0152309, US)"
5dragnz,0,"5 Dragons (10178611, New Zealand)"
5dragsp,0,"5 Dragons (20161011, NSW/ACT, Show Program)"
5koi,1352,"5 Koi - Power Pay (10250711, NSW/ACT)"
5koia,0,"5 Koi - Power Pay (1J016211, ASP)"
600,39200,600
600cat,,600 Cellular Activation Tester
60in1,95,"60 in 1 MAME bootleg (ver 3.00, ICD-V000)"
64street,,64th. Street: A Detective Story (World)
64streetj,176,"64th. Street: A Detective Story (Japan, set 1)"
64streetja,176,"64th. Street: A Detective Story (Japan, set 2)"
6578cjz1,,Chaoji Zhishi Da Fuweng 1
6578cjz2,,Chaoji Zhishi Da Fuweng 2
68ksbc,,68k Single Board Computer
705p3prg,183,MC68705P3 Programmer
705p5prg,,MC68705P5 Programmer
705r3prg,183,MC68705R3 Programmer
705u3prg,183,MC68705U3 Programmer
720,,720 Degrees (rev 4)
720g,186,"720 Degrees (German, rev 2)"
720gr1,186,"720 Degrees (German, rev 1)"
720r1,186,720 Degrees (rev 1)
720r2,186,720 Degrees (rev 2)
720r3,186,720 Degrees (rev 3)
7951om,,7951om
7gold,,7 Gold
7jigen,,7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)
7mezzo,,7 e Mezzo
7ordi,,7 Ordi (Korea)
7smash,,7 Smash
7toitsu,22901,Chi-Toitsu
800fath,22359,800 Fathoms
800fatha,22359,800 Fathoms (older)
86lions,,86 Lions
88games,,'88 Games
88in1joy,,Joystick88
8ball,,Video Eight Ball
8ball1,204,Video Eight Ball (Rev.1)
8ballact,,Eight Ball Action (DK conversion)
8ballact2,206,Eight Ball Action (DKJr conversion)
8bpm,206,Eight Ball Action (Pac-Man conversion)
98best44,,Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07)
990189,,TM 990/189 University Board microcomputer
990189v,210,TM 990/189 University Board microcomputer with Video Board Interface
99bottles,8932,99 Bottles of Beer
99lstwar,28314,'99: The Last War (set 1)
99lstwara,28314,'99: The Last War (set 2)
99lstwarb,28314,'99: The Last War (bootleg)
99lstwark,28314,'99: The Last War (Kyugo)
9ballsht,,9-Ball Shootout (set 1)
9ballsht2,217,9-Ball Shootout (set 2)
9ballsht3,217,9-Ball Shootout (set 3)
9ballshtc,217,9-Ball Shootout Championship
a1000,,Amiga 1000 (PAL)
a1000n,221,Amiga 1000 (NTSC)
a1010,,Textel Compact A1010-0
a1200,,Amiga 1200 (PAL)
a1200n,224,Amiga 1200 (NTSC)
a1200xl,276,Atari 1200XL
a130xe,279,Atari 130XE
a2000,,Amiga 2000 (PAL)
a2000n,228,Amiga 2000 (NTSC)
a2600,,Atari 2600 (NTSC)
a2600_pop,,Atari 2600 Point of Purchase Display
a2600p,230,Atari 2600 (PAL)
a3000,,Amiga 3000 (PAL)
a3000n,233,Amiga 3000 (NTSC)
a400,,Atari 400 (NTSC)
a4000,,Amiga 4000/040 (PAL)
a400030,236,Amiga 4000/030 (PAL)
a400030n,236,Amiga 4000/030 (NTSC)
a4000n,236,Amiga 4000/040 (NTSC)
a4000t,,Amiga 4000T (PAL)
a4000tn,240,Amiga 4000T (NTSC)
a400pal,235,Atari 400 (PAL)
a433cc,11047,A433C-C/A450C-C
a486ap4,11047,PVI-486AP4
a486isa,11047,ISA-486
a486sio,11047,ISA-486SIO rev. 1.2
a486sp3,,PVI-486SP3 (SiS 85C496/85C497)
a486sp3g,11047,PCI/I-486SP3G
a486sv1,11047,VL/EISA-486SV1
a486sv2,11047,ISA-486SV2
a486sv2g,11047,VL/I-486SV2G
a500,,Amiga 500 (PAL)
a500n,252,Amiga 500 (NTSC)
a500p,,Amiga 500 Plus (PAL)
a500pn,254,Amiga 500 Plus (NTSC)
a5105,,BIC A5105
a5120,,A5120
a5130,257,A5130
a51mxr3k,1333,"Area 51 / Maximum Force Duo (R3000, 2/10/98)"
a51mxr3ka,1333,"Area 51 / Maximum Force Duo (R3000, 2/02/98)"
a51site4,,"Area 51: Site 4 (HD Rev 2.01, September 7, 1998)"
a51site4a,261,"Area 51: Site 4 (HD Rev 2.0, September 11, 1998)"
a5200,,Atari 5200
a5200a,263,Atari 5200 (2-port)
a600,,Amiga 600 (PAL)
a600n,265,Amiga 600 (NTSC)
a600xl,279,Atari 600XL
a65xe,279,Atari 65XE
a65xea,279,Atari 65XE (Arabic)
a7000,28737,Archimedes A7000
a7000p,28737,Archimedes A7000+
a7150,,A7150
a7800,,Atari 7800 (NTSC)
a7800p,273,Atari 7800 (PAL)
a7lucky88,1353,Lucky 88 (Aristocrat MK-7)
a800,,Atari 800 (NTSC)
a800pal,276,Atari 800 (PAL)
a800xe,279,Atari 800XE
a800xl,,Atari 800XL (NTSC)
a800xlp,279,Atari 800XL (PAL)
aa3000,286,BBC A3000
aa3010,,Acorn A3010
aa3010_de,282,Acorn A3010 (German)
aa3020,282,Acorn A3020
aa305,286,Archimedes 305
aa310,,Archimedes 310
aa4,295,Acorn A4
aa4000,282,Acorn A4000
aa4101,286,Archimedes 410/1
aa4201,286,Archimedes 420/1
aa440,286,Archimedes 440
aa4401,286,Archimedes 440/1
aa486s,,PCI/I-A486S (SiS 85C496/85C497)
aa500,,Acorn A500 Development System
aa5000,,Acorn A5000
aa5000a,295,Acorn A5000 Alpha
aa500d,294,Acorn A500 Domesday Development System
aa540,286,Archimedes 540
aa680,,Acorn A680 UNIX Evaluation System
aaa,,Ambassador
aadvent,13726,"African Adventure (Konami Endeavour, Russia)"
aafb,,All American Football (rev E)
aafbb,302,All American Football (rev B)
aafbc,302,All American Football (rev C)
aafbd2p,302,"All American Football (rev D, 2 players)"
aar_101,,Aaron Spelling (1.01)
aavenger,,Airborne Avenger
abacus,,Abacus (Ver 1.0)
abae4,11047,486 EISA-AE4
abah4,11047,AB-AH4
abaseb,,Atari Baseball (set 1)
abaseb2,311,Atari Baseball (set 2)
abattle,1653,Astro Battle (set 1)
abattle2,1653,Astro Battle (set 2)
abav4,11047,AB-AV4
abax4,11047,AB-AX4
abc110,2147,ABC 110
abc1600,,ABC 1600
abc310,2147,ABC 310
abc80,,ABC 80
abc800c,,ABC 800 C/HR
abc800m,321,ABC 800 M/HR
abc802,,ABC 802
abc806,,ABC 806
abcheck,,Abnormal Check
abclimax,14233,After Burner Climax (Export)
abcop,,A.B. Cop (World) (FD1094 317-0169b)
abcopd,327,A.B. Cop (World) (bootleg of FD1094 317-0169b set)
abcopj,327,A.B. Cop (Japan) (FD1094 317-0169b)
abcopjd,327,A.B. Cop (Japan) (bootleg of FD1094 317-0169b set)
abigchs,,Big Cheese (Russia) (Atronic)
abl4play,,4 Player System - 10 in 1
ablast,25633,Hong Tian Lei (A-Blast) (Japan)
ablastb,25633,Hong Tian Lei (A-Blast) (bootleg)
ablkickb,,"Kick Boxing (BJ8888, ABL TV Game)"
ablmini,,"Double Players Mini Joystick 80-in-1 (MJ8500, ABL TV Game)"
ablpinb,,"Pinball (P8002, ABL TV Game)"
ablping,,"Ping Pong / Table Tennis / Super Ping Pong (PP1100, ABL TV Game)"
abltenni,,"Wireless Tennis (WT2000, ABL TV Game)"
ablwikid,,Wikid Joystick 14-in-1
abnudge,,Animal Bonus Nudge (Version 2.1 Dual)
abnudgeb,341,"Animal Bonus Nudge (Version 2.0, set 1)"
abnudged,341,"Animal Bonus Nudge (Version 2.0, set 2)"
abnudgeo,341,Animal Bonus Nudge (Version 1.7)
abpb4,11047,AB-PB4
abpi4,,AB-PI4 / AB-PI4T (SiS 85C496/85C497)
abpm4,,AB-PM4 (SiS 85C496/85C497)
abpv4,,AB-PV4 (SiS 85C496/85C497)
abpw4,11047,AB-PW4
abscam,27400,Abscam
abunai,,Abunai Houkago - Mou Matenai (Japan 890325)
aburner,,After Burner
aburner2,,After Burner II
aburner2g,353,After Burner II (German)
abv105,356,Airborne (1.5)
abv106,,Airborne (1.6)
abv106r,356,Airborne (Redemption)
ac1,,Amateurcomputer AC1 Berlin
ac1_32,358,Amateurcomputer AC1 Berlin (32 lines)
ac1bbclb,,Big Break Club (Ace) (ACESYS1) (set 1)
ac1bbclba,360,Big Break Club (Ace) (ACESYS1) (set 2)
ac1bluec,,Blue Chip (Pcp) (ACESYS1) (set 1)
ac1blueca,362,Blue Chip (Pcp) (ACESYS1) (set 2)
ac1bluecb,362,Blue Chip (Pcp) (ACESYS1) (set 3)
ac1bluecc,362,Blue Chip (Pcp) (ACESYS1) (set 4)
ac1bluecd,362,Blue Chip (Pcp) (ACESYS1) (set 5)
ac1clbmn,,Club Money (Ace) (ACESYS1) (set 1)
ac1clbsv,,Club Sovereign (Ace) (ACESYS1)
ac1clbxt,,Club Xtra (Ace) (ACESYS1) (set 1)
ac1clbxta,369,Club Xtra (Ace) (ACESYS1) (set 2)
ac1cshtw,,Cash Towers (Ace) (ACESYS1)
ac1dbldx,,Double Deluxe (Pcp) (ACESYS1)
ac1gogld,,Go For Gold (Ace) (ACESYS1) (set 1)
ac1hideh,,Hi De Hi Deluxe (Ace) (ACESYS1) (set 1)
ac1hideha,36167,Hi De Hi Deluxe (Ace) (ACESYS1) (set 2)
ac1hotpf,,Hot Profit (Ace) (ACESYS1)
ac1nudbk,,Nudge Break (Pcp) (ACESYS1) (set 1)
ac1nudbka,377,Nudge Break (Pcp) (ACESYS1) (set 2)
ac1nudbkb,377,Nudge Break (Pcp) (ACESYS1) (set 3)
ac1nudbkc,377,Nudge Break (Pcp) (ACESYS1) (set 4)
ac1nudbkd,377,Nudge Break (Pcp) (ACESYS1) (set 5)
ac1piaca,,Play It Again Casino (Ace) (ACESYS1)
ac1piacl,,Play It Again Club (Ace) (ACESYS1) (set 1)
ac1piacla,383,Play It Again Club (Ace) (ACESYS1) (set 2)
ac1piaclb,383,Play It Again Club (Ace) (ACESYS1) (set 3)
ac1piaclc,383,Play It Again Club (Ace) (ACESYS1) (set 4)
ac1primt,,Primetime (Ace) (ACESYS1) (set 1)
ac1prmcl,,Premier Club (Ace) (ACESYS1) (set 1)
ac1prmcla,388,Premier Club (Ace) (ACESYS1) (set 2)
ac1prmclb,388,Premier Club (Ace) (ACESYS1) (set 3)
ac1prmclc,388,Premier Club (Ace) (ACESYS1) (set 4)
ac1pster,,Pound Sterling (Ace) (ACESYS1)
ac1pstrt,,Pound Stretcher (Pcp) (ACESYS1)
ac1roll,,Roll Up (Pcp) (ACESYS1) (set 1)
ac1rolla,394,Roll Up (Pcp) (ACESYS1) (set 2)
ac1rollb,394,Roll Up (Pcp) (ACESYS1) (set 3)
ac1rundx,,Runner Deluxe Club (Ace) (ACESYS1) (set 1)
ac1rundxa,397,Runner Deluxe Club (Ace) (ACESYS1) (set 2)
ac1scch,358,Amateurcomputer AC1 SCCH
ac1shid,,Super Hi De Hi (Ace) (ACESYS1) (set 1)
ac1shida,400,Super Hi De Hi (Ace) (ACESYS1) (set 2)
ac1sstrk,,Starstruck (Pcp) (ACESYS1) (set 1)
ac1sstrka,402,Starstruck (Pcp) (ACESYS1) (set 2)
ac1sstrkb,402,Starstruck (Pcp) (ACESYS1) (set 3)
ac1taklv,,Take It Or Leave It (Ace) (ACESYS1) (set 1)
ac1totb,,Top Of The Bill (Ace) (ACESYS1)
ac1unk,,unknown Ace System 1 game
ac1xpres,,Xpress (Pcp) (ACESYS1)
academy,,"Mephisto Academy (English, 04-10-88)"
academyd,409,"Mephisto Academy (Dutch, 04-10-88)"
academyg,409,"Mephisto Academy (German, 06-03-89)"
academyga,409,"Mephisto Academy (German, 04-10-88)"
academygb,409,"Mephisto Academy (German, 27-08-88)"
academytt,409,"Mephisto Academy T+T (Dutch, prototype)"
acchi,,Janken Game Acchi Muite Hoi! (Japan 1.3)
accomm,,Acorn Communicator
accommb,416,Acorn Briefcase Communicator
accommi,416,Acorn Communicator (Italian)
accommp,416,Acorn Communicator (prototype)
accord,,Accord
acd,,unknown ACD computer
ace,,Ace
ace100,1195,Franklin ACE 100
ace1000,1195,Franklin ACE 1000
ace2200,1217,Franklin ACE 2200
ace500,1196,Franklin ACE 500
aceattac,,Ace Attacker (FD1094 317-0059)
aceattaca,427,"Ace Attacker (Japan, System 16A, FD1094 317-0060)"
acedriv3,37692,Ace Driver 3: Final Turn
acedrive,,"Ace Driver: Racing Evolution (World, AD2)"
aceex2814,,Aceex 2814
acefruit,,Silhouette
acheart,,Arcana Heart
acheartf,,Arcana Heart Full
acitya,3128,Atlantic City Action
aclown,,Clown (Russia) (Atronic)
acombat,1653,"Astro Combat (newer, CB)"
acombat3,1653,Astro Combat (unencrypted)
acombat4,1653,Astro Combat (encrypted)
acombato,1653,"Astro Combat (older, PZ)"
acommand,,Alien Command (v2.1)
acr20,,ACR-20 Digital Accompaniment Center
acrnsys1,,Acorn System 1
acrnsys2,445,Acorn System 2
acrnsys3,,Acorn System 3 (6502 CPU)
acrnsys3_6809,445,Acorn System 3 (6809 CPU)
acrnsys4,445,Acorn System 4
acrnsys5,,Acorn System 5
acrobatm,,Acrobat Mission
acrobatmbl,449,Acrobat Mission (bootleg with Raiden sounds)
act2000,,Action 2000 (Version 3.5E Dual)
act2000b1,451,"Action 2000 (Version 3.5R, set 2)"
act2000bx,451,"Action 2000 (Version 3.30XT, set 2)"
act2000d1,451,"Action 2000 (Version 3.5R, set 1)"
act2000dx,451,"Action 2000 (Version 3.30XT, set 1)"
act2000o,451,Action 2000 (Version 3.3)
act2000o2,451,Action 2000 (Version 3.10XT)
act2000o3,451,Action 2000 (Version 1.2)
act2000v1,451,Action 2000 (Version 3.5R Dual)
act2000vx,451,Action 2000 (Version 3.30XT Dual)
act5a,,ACT-5A
actfancr,,Act-Fancer Cybernetick Hyper Weapon (World revision 3)
actfancr1,462,Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancr2,462,Act-Fancer Cybernetick Hyper Weapon (World revision 2)
actfancrj,462,Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
actionhw,,Action Hollywood
acw443,2147,ABC 210/Cambridge Workstation
ad2083,,A. D. 2083
ad4ctl,,Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 1)
ad4ctla,469,Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 2)
ad4film,,Film Premiere (Video?) (Bellfruit) (Adder 4) (set 1)
ad4filma,471,Film Premiere (Video?) (Bellfruit) (Adder 4) (set 2)
ad4skill,,Skill Dice (BFM) (Scorpion 4 + Adder 4)
ad5bpfpm,,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 1)
ad5bpfpma,474,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 2)
ad5bpfpmb,474,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 3)
ad5bpfpmc,474,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 4)
ad5bpfpmd,474,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 5)
ad5btc,,"Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 1)"
ad5btca,479,"Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 3)"
ad5btcb,479,"Bullseye Triple Club (PR1758, BFGNBULS) (Bellfruit) (Adder 5) (set 4)"
ad5cmons,,Crazy Money (Bellfruit) (Adder 5) (set 1)
ad5cmonsa,482,Crazy Money (Bellfruit) (Adder 5) (set 2)
ad5copsr,,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 1)
ad5copsr0,521,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 7)
ad5copsr1,521,Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 2)
ad5copsr2,521,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 8)
ad5copsr3,521,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 1)
ad5copsr4,521,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 5)
ad5copsr5,521,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 2)
ad5copsr6,521,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 6)
ad5copsr7,521,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 4)
ad5copsra,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 2)
ad5copsrb,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 3)
ad5copsrc,484,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 1)
ad5copsrd,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 4)
ad5copsre,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 5)
ad5copsrf,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 6)
ad5copsrg,484,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 2)
ad5copsrh,521,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 1)
ad5copsri,521,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 2)
ad5copsrj,521,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 5)
ad5copsrk,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 7)
ad5copsrl,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 8)
ad5copsrm,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 9)
ad5copsrn,484,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 3)
ad5copsro,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 10)
ad5copsrp,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 11)
ad5copsrq,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 12)
ad5copsrr,484,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 4)
ad5copsrs,521,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 3)
ad5copsrt,521,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 4)
ad5copsru,521,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 6)
ad5copsrv,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 13)
ad5copsrw,484,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 14)
ad5copsrx,484,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 5)
ad5copsry,484,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 6)
ad5copsrz,521,Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 1)
ad5crcpt,,Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 1)
ad5crcpta,519,Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 2)
ad5crsc,,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 1)
ad5crsca,521,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 2)
ad5crscb,521,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 3)
ad5crscc,521,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 4)
ad5crscd,521,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 7)
